Quote, Author
"[Smiley contemplates graffiti:]'Punk is destructive. Society does not need it.' The assertion caused him a moment's indecision. 'Oh, but society does,' he wanted to reply; 'society is an association of minorities.", John le Carre
"Punk was a protest against work and against boredom. It was a sign of life, a rant, a scream, a rejection of bourgeois morals. But have things improved since then? Arguably, they've got worse.", Tom Hodgkinson
"Many people think if you say "no" you just do this to negotiate a better deal and they didn't understand that Daft Punk really meant "no" because they didn't want to do certain things.", Pedro Winter
"Punk rock wasn't a career choice. It was a hobby that we did for fun. We never thought we'd get as big as our idols in T.S.O.L. or certainly not the Ramones.", Dexter Holland
"Is there a better wrestling villain on TV these days than CM Punk? Arguable question but for my sauce, Punk is right there at the top of the heap with a handful of his peers.", Jim Ross
"Punk gave me the strength to think "Yeah you can stand up and be counted and do what you want in life and not be hoodwinked by it all" in a simple very general sweeping way.", Steve Diggle
"Punk rock really came out of N.Y. as a philosophy before the groups were ever recorded. I had a kind-of intellectual interest in the idea of creating a new scene that could be a grassroots thing.", Greg Ginn
"Punk. . .was more a kind of do-it-yourself, anyone-can-do-it attitude. If you only played two notes on the guitar, you could figure out a way to make a song out of that, and that's what it was all about.", David Byrne
"Punk to me was a form of free speech. It was a moment when suddenly all kinds of strange voices that no reasonable person could ever have expected to hear in public were being heard all over the place.", Greil Marcus
"Punk's really cool because it's very inclusive of all types, which I like. And I would submit that even though people talk about punk as being thuggish, I think it can be more creative than other types of music.", Milo Aukerman
"Punk rock' is a word used by dilettantes and heartless manipulators about music that takes up the energies, the bodies, the hearts, the souls, the time and the minds of young men who give everything they have to it.", Iggy Pop
"All of the punk-rock bands of the era would come in and play, and my job on Punk Rock Night was that I would go into the slam pit, and... I was 24 or 25, and I'd slam dance in the pit.", William Forsythe
"Noise has taken the place of punk rock. People who play noise have no real aspirations to being part of the mainstream culture. Punk has been co-opted, and this subterranean noise music and the avant-garde folk scene have replaced it", Thurston Moore
"When it comes to electronic music, I started listening to a lot of Daft Punk, way before I knew what house music was, and then progressed into a lot of Steve Angello, Eric Prydz, Axwell, Sebastian Ingrosso, and Laidback Luke.", Avicii
"I always wanted to be a writer, but Alan Moore's work and help inspired me to write comics. In some ways the biggest influence on me writing was Punk. There was the idea that you could do something by simply doing it.", Neil Gaiman
" I did enjoy the broadcasting work of King, Punk and Josh Mathews last Monday on Raw. Josh is a hard working young man who does his homework and he did well with his opportunity to sit at the grown up table on Raw.", Jim Ross
"Work It Harder Make It BetterDo It Faster, Makes Us strongerMore Than Ever Hour AfterOur Work Is Never Over-Harder, Better, Faster, Stronger", Daft Punk
"I come from the home-grown punk ethic, where it doesn't matter if you can't play a note, it's how you communicate.", Siobhan Fahey
"The problem is we moved to LA... The only way to be punk rock in L.A. is to be a Republican.", Trey Parker
"The thing about punk is that there are purists. Once you start going outside of that, they don't think what you're doing is punk rock.", Billie Joe Armstrong
"The whole punk ethic was do-it-yourself, and I've always been very literal, especially as a kid. When they said that anybody can do this, I was like, 'OK, that's me.'", Michael Stipe
"There are a lot of bands who claim to be punk and they only play the music, they have no clue what it's all about. It's a lifestyle. It's not about popularity and all that crap.", Billie Joe Armstrong
"At its best New Wave/punk represents a fundamental and age-old Utopian dream: that if you give people the license to be as outrageous as they want in absolutely any fashion they can dream up, they'll be creative about it, and do something good besides.", Lester Bangs
"I've always been spiritual but I've never had a proper context, and it took me awhile to find the proper context. It's hard to realize you can have any kind of relationship with God you want... and so I now have a punk rock relationship with God.", Billy Corgan
"Questioning anything and everything, to me, is punk rock.", Henry Rollins
"All punk is is attitude. That's what makes it. The attitude.", Joey Ramone
"To me, punk is about being an individual and going against the grain and standing up and saying 'This is who I am'.", Joey Ramone
"People forget the punk thing was really good for women. It motivated them to pick up a guitar rather than be a chanteuse. It allowed us to be aggressive.", Siouxsie Sioux
"I enjoy punk, the attitude as well as the music, but I don't feel like I have to be a carbon copy of it and invite all this controversy just to be punk rock.", Hayley Williams
"I don't listen to punk any more, unless it's right before I play. Not that I don't like it, it's nostalgic. But, it's for kids and it should be... it's not art, it's expression.", Tom DeLonge
"In the 1970s, we had Carl Sagan, and he was so suave with his turtleneck and his tweed jacket. And he was, you know, he made science look cool. And in punk rock, we haven't had that. We haven't had the Carl Sagan of punk.", Greg Graffin
"You gotta know that you're better than anybody, 'cause to me, if you don't go in like that, you're gonna lose! They're gonna punk you out! On any stage, court, business venture, on the anchor desk - whatever. You've got to go in believing, 'I can do this better than anybody.'", Stuart Scott
"If someone says 'grunge' or 'punk,' you know what the sound is, but if you say 'No Wave,' it's kind of mysterious. That was the most interesting part and should have been the most inspirational thing about it... here's this collective sonic insanity, and none of it sounds anything alike.", Lydia Lunch
"I made the big turnaround in the early Nineties when I started hearing all the tenth generation punk bands like Green Day and Offspring and all those people. It just made me fall in love with punk again and remember my roots, and since that time I've always wanted to do more of that kind of music again.", Jane Wiedlin
"Being in love is totally punk rock.", Joey Comeau
"A real punk is punk on the inside.", Mark Hoppus
"A punk concert isn't fun without a pit.",Billie Joe Armstrong
"Grunge is a hippied romantic version of punk.", Marc Jacobs
"Country music is completely punk-rock. It's the original punk-rock.", Neko Case
"Sudah gue bilang: punk is only hibernating, not dead!", Adham T. Fusama
"The American underground punk scene, though, is a story worth remembering.", Ian MacKaye
"That's the authentic punk dance. It's like a child dizzy on lemonade.", Noel Fielding
"In fact, punk rock means exemplary manners to your fellow human beings.", Joe Strummer
"The punk-rock ethos was "Do it yourself. Anyone can do this. We're not sent from the heavens."", Michael Stipe
"The popularity of punk rock was, in effect, due to the fact that it made ugliness beautiful.", Malcolm Mclaren
"The whole point of the punk-rock thing was that "We're not special. We just have a voice."", Michael Stipe
"I think punk rock, especially for me, was a big middle finger to this whole talent thing.", Mike Watt
"The thread of culture that runs through the entire history of punk is also a dedication to challenging the authoritarian.", Greg Graffin
"When someone asks you, 'What's punk?' my reply is, 'If you have to ask, you're never going to know.'", Henry Rollins
"Let's play with sound, forget all knowledge and instrumental skills, and just use instinct the same way punk did.", Yann Tiersen
"If you've sold over a million records, you are not punk rock, you are milking the system for everything that it's worth.", Billy Corgan
"In reality punk people are usually the gentlest, kindest folks you'll ever know. They're like hippies, only they wear way more black.", Kate Rockland
"It's very cliched to go, 'You're not punk.' We don't care if we are, and we don't care if we aren't.", Joel Madden
"I think "punk" should really be defined as paving your own way creatively and by defying any sort of orthodoxy or commercial pressure.", Shepard Fairey
"Because the only thing that punk rock should ever really mean, is not sitting 'round and waiting for the lights to go green..", Frank Turner
"Part of the punk attitude was that you should project your music through your whole body... show your personality as much as possible.", Billy Idol
"The single best thing that has happened in my lifetime in music, after punk rock, is being able to share music, globally for free", Steve Albini
"What we get in punk these days are layers of 'anti-', and so many of them are so self-serving. It's not about larger freedom.", Geoff Rickly
"PUNK IS: the personal expression of uniqueness that comes from the experiences of growing up in touch with our human ability to reason and ask questions.", Greg Graffin
"Johnny Rotten isn't punk. Maybe that's punk to somebody, but these people are participating and challenging the corporations that are telling us what punk is and what good music is.", Kathleen Hanna
"I always said punk was an attitude. It was never about having a Mohican haircut or wearing a ripped T-shirt. It was all about destruction, and the creative potential within that.", Malcolm Mclaren
